Customer ID,Product ID,Order ID,Order Quantity,Review Rating,Payment Method,Subscription Status,Shipping Type,Discount,Date
ic6ji2bcx492twq9kxr5kaoju9srkmxz,d3f4c7369a0bed643679a1d8e61a5dd8,zsacyouxdb4mvu9uezvsvjwmm0v9jbp8,12,4.0,Bank Transfer,Yes,Express,8.71%,2022-01-25
hftptpng9m6lmlv7aitaspvymtpqga6l,d6b8b9d29d680b9687a5100df43322c1,ko9satwyuriurqkf7xowd0gqwkmizojr,4,2.7,Venmo,No,Store Pickup,45.39%,2022-01-06
7ld170furfpomdnpmfjvtrzfufcod09q,b80d76a029580d086d0f049260f6a996,togjllp8v3w8iz3xvbr2mxshk2esk8cf,10,4.2,Credit Card,Yes,Standard,6.49%,2022-01-21
etjkbqmemnuxfszvyczzsznwbgpkssmn,9da4e001c4958976521f229c90b9ddcc,ngidudseljylnsqhwbqh40bofatipgnh,3,4.3,Venmo,No,Express,17.57%,2022-01-27
memewtnbgpmuqw4mkg1qv7w5egdjekr9,68f93eb7852263685cb7259ff453db05,zrcnhrif1huhjj7ab1v2rmesibplsvn5,8,3.0,Debit Card,Yes,Next Day Air,9.4%,2022-01-10
ojccl06ii9vonbehkciqyexv3hdrzuve,b92ff7d197cc7b4ce8198d48539edae8,bzitheaxjvjcggfaehpd1xnyg0jtpe9m,11,4.1,Venmo,Yes,2-Day Shipping,0.62%,2022-01-07
t7omfp3wootekvsap0wssqgdhuyveedr,425aa71d86ffcbcdba25892758fe6110,qczrg4b5xn36wwn35al7uldkitqpwhyx,7,4.2,Credit Card,Yes,Express,15.54%,2022-01-03
xpru5taoqjdm7uxlusekfphkysd3uemz,5bef396827c8a7d0b2e1d0bdd698002b,djqxddnvfdonjfzj9q4aguzljen7kpkt,17,5.0,Credit Card,No,Standard,11.58%,2022-01-12
pepa8gqi4x510he3jv04vm0fmvly4ymx,56d94f3adb415f8435ba23e2b09a010c,dbgrleem1kovkakfosbyrpa0ac32eqt2,2,3.2,Bank Transfer,No,Store Pickup,7.95%,2022-01-28
cq0owvdgejnks0hvmdfkxr3d2n145kd2,3809fe2dd1e472e12af779558bc10823,cuypd8sj9m5iqzi7mxm1gnizdnxwsbsi,18,3.9,Venmo,Yes,Express,12.11%,2022-01-08
vfjhkppdxkzdyltfvkbwkdnyeuclcfqr,e82db98f3c4cd6628d89bd74f6594a4c,tiibmpaup16sd9iz26cgs91zvpvclonc,3,2.6,Venmo,No,Store Pickup,13.93%,2022-01-03
vx1y3lnr3bfqtp7z1s3rjmumdnvnh7th,28d9ea9345c37aaa033434af7ce742b4,9ks2yishv34rqzkirlwtq6k9rf334pmv,8,2.7,Credit Card,Yes,2-Day Shipping,9.31%,2022-01-30
vk2dnlt0xwc9fbuvvjuqtjesc0ipqdth,99393312b60c8aa44a011722c04a6394,drzjocxj92qipmloyycchi9v9a4i9wp0,14,2.7,Venmo,No,,4.48%,2022-01-28
5dblwzrdbjotwkvrshg8er2qqxwjsw1g,183f87a96a04c66cfc255319ce0f37a1,ojry2ubgkhkpzsmqrmzfpt4jwsn8v7h3,9,4.4,Bank Transfer,Yes,Free Shipping,18.25%,2022-01-20
ajqcmq3htngz6uj4mbita7qzbkq3bbc2,08036a06fea8b3901aa228816b267826,g1mc5rcep7ozsqzeclrnhijb5hbaqxmc,13,4.7,Debit Card,No,Store Pickup,24.83%,2022-01-06
najlw9zy2pp9uf2fiuq6bmzrd7zubtii,3dbaa6dbe6cacf760072757c433c172d,lih8xuxcls5bzc2r9tnlpwwmj8lvpzvz,6,3.1,Credit Card,Ye,2-Day Shipping,11.59%,2022-01-22
wk9xvfgeedb1cwtpklyvruzng0cvmagq,b9757b04ab59beb31329bc6a304dd6ab,tihdgckxo03zofipbhdlhnudurejaux7,16,3.9,Cash,No,Standard,5.23%,2022-01-11
jiijded4rj3czaihiwy2jboaqcpwvqaw,b485dd6a929d383dcd4c6afd5f9f941f,dmg5gjg3twdq2wub6e4zvwohjth7ff54,15,3.5,Credit Card,Yes,Free Shipping,21.89%,2022-01-03
6u0ptfzcornqgkk4rpm0crbokoz4ahhp,9fce0780ced60a5a2f64549b42b14428,318ubgs9t1td3dn0suybunstrjlwuurx,7,3.1,PayPal,Y,Express,0.33%,2022-01-03
6etlgwx1xg33rxzsc8o5m2s8veu8blju,138f8ac052444a67cf91b75e4bc9ca0e,yb4us21e7nhhez7e4zno6avt5bbh76js,2,4.7,Bank Transfer,Y,Standard,18.21%,2022-01-23
gy9wvlw0lwvvkgvzem3lypxdqwkkuzo2,1683ac0f2dd78095abb014fb5c887384,dcu8rlvnk8bsdpipvcit5onsfpvsdzzb,6,3.7,Bank Transfer,No,Next Day Air,21.14%,2022-01-28
uoldlvvkv8qkabt8s4opuajriizdlvxy,5a03f466432eada2da748e44b44d64a0,wnt8orgkeu7mgvat6heitkpghwb75sdi,3,4.8,Bank Transfer,Y,Free Shipping,54.32%,2022-01-22
kjcmezjtmzf03vae4ouvjiul3z40sq4x,41809eebe627b9fcee50c0fcd2c72283,vljyiofmhon2v2kl4q2ok7sapjbybwpl,10,2.6,Credit Card,No,Express,14.31%,2022-01-07
h4a7u3tmmnh8yd7a3hba7pty0duos4xe,8f83d66d2832a66dd750e32a72175e82,iifff5u7a4bdmtky7zlvvhvu0x70g4jr,11,2.7,Bank Transfer,Yes,2-Day Shipping,16.27%,2022-01-26
utdwty6du3u0jzeq07cqyzabxtvize3z,da7260dc0c8ae1deb7c5b89faf007bea,4yozkggkknaaqelrehqiigkiakjb56zr,1,4.4,Cash,No,2-Day Shipping,10.42%,2022-01-13
jdxvdncdgvkbfejkkjx37g1zj1owzbav,123de3c9efa5f49dbbc098068d94acc2,txlakqd69eo3riwwjqndii94nt1s4zu6,1,4.5,Venmo,Y,Store Pickup,49.76%,2022-01-29
44zvo5fwttdbhbmytdfap3lnlumofcdu,bf588a0f6959bbb17e86f1716073f6cb,z6l5hbskv2jhaxdgqkesrq1bhzjx36f1,9,2.7,Bank Transfer,No,,6.46%,2022-01-02
mcx6yqz4jk9onpkgiqvd8peerxenswpe,42381fdeb6468452ba8a5cc1b70ce50c,m6mnshybxctwz0xik2ru8fes3wdnbwab,3,4.6,Cash,Yes,Free Shipping,0.15%,2022-01-11
gox4b8kcowoswgn1zhsrshduum1ukxar,933326071857c1010bcea9da9ccdeee8,2ncaq1s7actzpjckookncmxzm38mmgmw,1,2.5,Bank Transfer,Yes,Next Day Air,14.98%,2022-01-03
ubb1g8pcvzttysrjk5gmloc6clowgyrk,6978cb39a65784731ced3c4636955e5b,ass9cmxns4tqdwvk5vwi1xxexkcdap0m,6,2.9,PayPal,Yes,Store Pickup,2.73%,2022-01-31
xhnr8n92ohymqldjbacenh2j0mdyr0uc,92bac99568321e804c0e564a7e68b007,lsulrmfrenzovqerz1r0cj8cgwicsu6h,8,3.9,Debit Card,No,Free Shipping,83.97%,2022-01-29
zp7hnuqkxb49dbjiarcstaodla21wapj,36985fc106302df72e94c5b6ad9f0257,m01gmvggfhzd0k3dyq44ntqvsyasb58s,3,4.5,PayPal,No,Free Shipping,32.38%,2022-01-08
5qzvsi9hz09d3plgvrzevgpramnxg3zx,ea525fe8e978eb930e026a3e5dc764b0,ccgskbc1uis55avr72ygiltulnoo5wuu,17,3.3,Bank Transfer,no,Express,92.31%,2022-01-26
gz3xqgnv9xn1va16egsjplzfgcssvch7,e94e23445c51aebd509e42448c08f379,myt3nqkahxakppxkrpffr1xrlhzmlopc,13,2.8,Debit Card,Yes,Store Pickup,7.28%,2022-01-31
unfjzjcgordkfre0nuliunock5gavefr,f350220dc5b4096c08b6deb1b27d8a4b,lqhoseaezljmgtmabdgwqqztld8it9tu,2,3.5,Cash,No,2-Day Shipping,16.02%,2022-01-26
8tmdw8vpqebmk6r3hvf0mo2teodejaq7,b1b8c319826ded6ef402cb7f48d64175,rbatgwjmde2czrr8aq98pnyqazzrl0kq,8,3.4,PayPal,No,2-Day Shipping,1.35%,2022-01-26
pllgtsvxnour2yptaec3gdn7bosz5zek,a20629c8292154e0290ac545f307e525,8bi3nnwsqrruambkujbahjdnigwp8z92,10,2.9,Debit Card,No,2-Day Shipping,13.73%,2022-01-31
t3nxvhkbgyke4u3trhbnlnu0qkhgnx0w,a7c5767959a9a93d74a6346572392864,q109xhs9wfpwmcr7llq2zleqksnyan6m,10,2.7,Venmo,No,Express,22.53%,2022-01-10
do5dsl7oxg2mpqc5cjdndy6e3iyvhlxd,6635545100a37ae38f3081de83efb73e,1ilwujyqzqoslbblzk7efbo80wckqre6,9,2.6,Credit Card,no,,19.76%,2022-01-17
1thoshswm4jkiuk2x0zep3cwr8qs2zpf,c70ef3ccfb5009e770ec8bf54a0cded8,1wmnvspir9jxespz5sqdsqmrevy5dcok,10,3.6,Credit Card,Yes,Next Day Air,3.21%,2022-01-26
tavfoeyq1agqamxkx0akxtpcgqq6ffiy,caf001e7f70410a6bea0b1405cfbc4df,b4snrytk6n8nifuc5bhcudhncfewxdjq,7,2.6,PayPal,Yes,Express,78.94%,2022-01-27
tkx1mewouw8flswgahqbqdrty8cfuheb,c6256f99aac34790994b540c30e03bb7,am7boadz2bcptkityqc4t1onukwbma1x,5,3.2,PayPal,Yes,Free Shipping,15.33%,2022-01-10
hehkem6pp6ciipsq6peqlvep3ybsj6te,c0069db4fed65e6c54a33f0ad52f8d80,vskrh9ok9owen3gpzodw4kmmz3rham59,18,3.8,PayPal,No,Store Pickup,20.52%,2022-01-19
ravkm42wvtdah8extusgtyaffi75whfq,68a90af44cb3c48e4f1897c4fabe9699,xawreydflg8vwqabybdtvcwxpcsv8csk,11,5.0,Cash,Y,2-Day Shipping,16.48%,2022-01-01
rjbhhgutc1ozsxqqarksn8jmvcvejsnb,8951415a99760c6d419f585ee68530cb,mqepfcsf2xbmlwhm1proejyxqzvgwonh,6,4.4,Cash,No,Store Pickup,15.15%,2022-01-11
wtdrpxq8vwwlun8lsrkujaribosw2rr9,a9a2783b361ce1af6e01129d1b418ad4,qc5uksoxyclgfawbvk4zunmdmaozfhyt,14,4.0,Venmo,No,2-Day Shipping,9.12%,2022-01-06
azkzmev34p3ujysocgqoqh6rqhv3vhne,de676f54e914cc580fc8c5973e8fc0f0,ryiiwthcw8vzhrn4igcnjc7mtzbuzpwn,3,5.0,Venmo,Y,Express,16.54%,2022-01-25
ezcm7t8dt4sprbvrz3xio1mnqxoodq8m,961c5c90e4a776d93cffa6bc9652a142,gxcaw2pzcaz7r0xybqjumtjjjhpqbhar,1,4.1,Bank Transfer,Yes,Standard,13.29%,2022-01-24
bluur49movgh0ichj48icggnwyrjfm9g,5d9deab155648e3d0323a6da319210f8,44qgumvppoga8hrexcjlly2jdbnngkjc,9,3.9,PayPal,Yes,Store Pickup,13.8%,2022-01-02
lrsazgo8uoovclfeoxq7nhjykjjoey6g,0f6ba37911a827d4cb7b7944699a980c,amof0oevjrj7bqanl2kald3iciwwtuvv,4,3.7,PayPal,,Free Shipping,0.68%,2022-01-02
rr46tki2rpeawcwqbjfgmxkvq53xut2s,8f49d84000ac5f48496ec087d9ff824a,3px5jqjyflsj6kcveiws0qv23dz73ceh,4,4.7,Debit Card,Yes,Standard,14.44%,2022-01-20
t93xbs3iesvi5q75sa7zzzpjz681hwfd,48d3a4eddb45e6ecbee4b78438846baa,xarqbzexpqgb55rpp27qwb8smvbpi6y0,1,3.7,PayPal,No,Express,33.2%,2022-01-18
zk6by6avxccrttzhgiqjciluj15ln6jr,5e665dacbfc87bd92162f6740bf5d4ff,ket8wuau7s7wpanectfzzkuvxbiwgvx7,14,4.3,Cash,No,Free Shipping,65.17%,2022-01-11
mmqsjghpsorx1fevajmcqx80eeofvtjm,ec71cef1ba89df2ac52e4bbe23c93fcd,bbeuaw72benolafuj658vvko6uezjbjy,13,3.3,PayPal,No,Store Pickup,15.0%,2022-01-19
mxwiq9qhlrbfcwu8azkpzbutfvgssphj,c2b42a20efd12efbd8ed7d01eae1184e,jep9gxuw2b5br0fxzkw0leew75gcdlwr,18,4.3,Bank Transfer,Yes,Store Pickup,18.25%,2022-01-17
uibrluvhxxww7gmsyiu4qgdhuibypnpj,848fe16e1381f7ec7dd1d8ffa9fb6c76,ucgkw4yod6ju64qqmnl2uvkc0hefru3q,2,2.6,Cash,,2-Day Shipping,9.55%,2022-01-20
gdxwrp0s3etscpjf6kpzzsuwrimuscms,4d67539ca03d0b39b1613094973a09fe,qaufy25uo0x848eootevm0cllortg9nv,7,3.7,Cash,No,Express,38.6%,2022-01-30
sxf6aiwzah0o3fq9nqmsdtjeqvfvnsqo,abb82d4c43329468e2d4d23fe2c41ebb,9e3ynfkwce7re0upqyub7zbthxzncxen,4,4.3,PayPal,Yes,Next Day Air,53.6%,2022-01-22
dkckqou3xdw6upe7ynfczrtzopyu2f2u,9082da93038be5d10eba70564f6d30bd,tqqyufnvppqr8ct3xsm7vpynuux2d3ln,15,3.7,Debit Card,No,2-Day Shipping,7.87%,2022-01-09
qgemou570ar36o1xlxy3xfdghgitlfh9,efe939665a4b33c44b3b8a6ae5048e0a,tctwn46s3hnphrnre1u68djnlrycyylj,5,4.6,Bank Transfer,Yes,Next Day Air,9.85%,2022-01-28
vbs00yrpnxeg5h77pumew7irgqtlzacc,3e7ac8d28712f2170ddb7f121e25ee17,krxtyvhriw3sxj8lphpllzafqqnrbvby,18,3.6,Credit Card,Yes,Standard,1.03%,2022-01-07
zqe3mbp82dsyhvtmmuy0mkpnbuqnhb5u,ae27c9b519260367b0df3d796245a340,8ooqtzy9t4ohbok3s4f8llfa0kbwswrh,1,4.7,Debit Card,Y,Store Pickup,70.37%,2022-01-31
tldfzolftxpgxwle6ps4kfawh8ybtmfo,4ac977cc66b62f182e07a919a6ca577f,gjcl0ie3ukfb0tmatfupnvziih8ufvtf,6,3.4,PayPal,No,Standard,2.82%,2022-01-13
qigkkrdozqaitjgstrlg2sfimikq0tzn,8442d36df2767a3c63e249f1467b42f8,ppzpjduujfzd0cbnk6flnxzih5y1mnjy,5,3.8,PayPal,No,Store Pickup,14.76%,2022-01-06
yyeyqasesudpfxjjblc7a56hvt8hjqho,3688841bc6ddde66f1f357e1ed37bd35,bs9qxigrnmhunvymsuosyh1s8bqfizzm,9,3.2,PayPal,no,Standard,15.26%,2022-01-01
rhpvetks4m2uiwambiae1fhg4woggxnb,50d142369bcb2469c26231f96b372fb2,j5piue5ikuotnreux3k4jve1wahqsz9z,11,3.5,Cash,No,,24.63%,2022-01-09
p6fil4ry4njnp7zi8cvo1n9rmrg0logt,d9b3c4f0d07b902cc43beb008be76cf0,k7dvias6cjwieimd6phmeauyz0ke3nhx,17,3.8,Cash,No,Free Shipping,24.88%,2022-01-07
pb0wbsi85kgcgxz1nfn5wh5ku0qpwr6u,8f49bda7018693ea047b678570b75aff,ls3i33kjzj3rjfeuqyygsymjvffhvskl,11,4.5,PayPal,No,,1.52%,2022-01-20
cq0owvdgejnks0hvmdfkxr3d2n145kd2,9fcc5e9b29b2ac2f097ce0dfcc17e625,nlc6g843bt8f4htk9ahpymv3zw1ozdi5,1,2.7,PayPal,No,2-Day Shipping,15.72%,2022-01-13
7vsmsmlfhdacpfwezzh66uk2pu0rw3wq,892d23417f084fa8d763703ab068e12e,qslgsllqbtb6r7ibsqs4xonxvm5fm2nv,9,3.7,PayPal,No,Next Day Air,19.46%,2022-01-22
zxr0suasnaqdgqhxyp7zpj5tschlu5gx,12e52bbac653058d666f498edd654d20,pmjd6x27by5iuvwvkwc424kclg49cb0d,6,2.6,Credit Card,Y,Free Shipping,4.81%,2022-01-31
yatfldoxc4p5kqf2t5nrbbxqwp23ddy4,a5e1ade415c18a01a912da1a45ec0027,0uhefodvcujjrqqvsjxk8xqrj7djd458,6,4.5,PayPal,Y,Free Shipping,15.17%,2022-01-30
vla2givmrghkru7ficdrbw9euaha6pyx,8406b5a5a8f4b30bd4a9fcc89cca983f,ym2uupn6gmohll9npecpbubbv5aqkokq,10,4.2,PayPal,No,Standard,95.27%,2022-01-09
0vp508brds6xwowcctzijiquftd9binf,029e029e980b214d01d9be662618569d,jkxbuumknzjpkmhrgftugyvahc1aeuhm,4,3.9,Cash,No,Standard,13.59%,2022-01-18
lymocg36nxaxgykb7lpcqfe62pzrmdyy,4d8663741a685a19cd94ef3fc77f6aa2,gz7jkke4p0ipkuc4bya0r8jnpmuolfcq,1,4.2,Cash,Yes,Standard,2.21%,2022-01-19
1qzbfsoxvnz6txbvbtfmwfikwc1khqtd,63cd723ea59a6a7dce564812e0d833cc,rk02ibprfkuahvgyondskzacbbpm0eda,14,3.6,Venmo,No,Next Day Air,15.01%,2022-01-02
bzf0jx7tagtqzsucsn6519fb9l5qlamw,8f9b7f800ef1103fdf4458c5c415bf49,l7wvsfenst0ahuzcudf77c2ponstuj9n,6,3.3,Debit Card,Yes,Express,16.51%,2022-01-24
cxejji7ylwp7ttvrb3qq3ffcii617j5f,7a774cddd8ecefcc1444534d2cdcee6f,tdtmo7sbr3biwphdbkn7muxwtita5ryz,10,4.2,Bank Transfer,No,2-Day Shipping,17.57%,2022-01-05
5rknhpj3legal9om6rrx3l9hycuc9uve,5d2bc035186410feb8a74d3e8b177dfa,l3x9nswgij2wdsqaidwol13ijxn5pomh,4,4.0,PayPal,No,Next Day Air,15.99%,2022-01-16
8wwbug9idywrn7cavf7zfrfmhnkcn46l,c8eb040743a0258af1464dfd359337e3,0pzosc8vk1iqj2usgkwyzrammb3t9l24,9,2.8,PayPal,No,Store Pickup,15.28%,2022-01-07
u5xxd4t6vpdppbm1rukgfwuhjo3zwtq3,c6eb68f405beb191d9402aa1242a819c,svc3claxsnyeuxlh0rizcwekwxafxfv3,11,4.3,Debit Card,Y,Standard,11.24%,2022-01-14
gjbh09xatq7zjxlixowfrcatubtkoaxj,3875f1d8af636aad8ca285ad43d8755e,vwadmkzbseusbmttg16te45xkroztoz5,15,3.0,Debit Card,No,Free Shipping,16.93%,2022-01-26
u9zcb3xsh2nu18dt8b2o2967x8w1z9ul,2e9fa7217d26fd5d401cfe48c33230f1,wzmc2u28k5go03qxwn6qduachljajs5r,10,3.3,Bank Transfer,Y,2-Day Shipping,23.35%,2022-01-05
i5zapzmfyhlp6uihrma7ia4epiid95uj,b7f9e0140bd136fc5f22a7b6f5c72fc7,n3hrvr3auyfssvds6tpvd0cdc8ka2exd,7,3.1,Cash,Y,2-Day Shipping,21.81%,2022-01-15
52qyrqacq71dfzmsxipki71vulpno1fl,2144315a823e47df748abef74f8d68dc,lckvtcnr0m3xhtg0y52adiisvwl8jy4s,5,4.6,Venmo,No,Standard,21.67%,2022-01-11
5w8l4oo9b62vodqsnioxi0xpf4knlc4p,10801e1b6ef7e39eb8875234a49b7d70,nr2awjbei5s77wwmykc729fugarc9ric,8,4.1,PayPal,Y,Store Pickup,23.48%,2022-01-14
7byqjcq3cvre6pe9ukltsuragioj7flm,66651596550f3944bdf70ac0460d3ed8,0meywzjguysj2ygfbc6qfzpkopvsm95o,8,3.9,Credit Card,No,Express,13.51%,2022-01-01
ehtg1advwplcbqnz8xznqaqfrgctkf1z,5e1f2499c4b3df9f4bf4bdb9477ef905,qgqcxkfkmiuocapj3nne3uws0bbopx9u,4,4.3,Bank Transfer,Yes,Store Pickup,14.16%,2022-01-27
3vlr39ugdvb3hqsh3uj9e2v94v6z31so,101a30569cf2a233931b9597dbae7913,gdtpns16goye6izufrvcppe1zqiptqoq,11,4.1,Debit Card,Yes,Standard,14.33%,2022-01-08
5tw0y2409lhqeuvgcwjfzklyzyunzv7o,12ad468475424f87b51556f3186949db,avmfjyew1i3mdhs3zvdhs1ygznieablm,6,2.7,Cash,No,Next Day Air,20.56%,2022-01-17
9yqa3asjwmkdqibev9uorluxzm1pm7h7,54dc14da7fe2ba5c4ce92f1a7cb1324b,liqkwvxogvicrfleuq7fwaswqrjejpg8,9,4.2,Debit Card,Yes,Next Day Air,14.07%,2022-01-10
mp7gnzjc5lsrzdqwhrn10k5p6dxkjt59,f9b2d278f506070cf56670077990cd2c,kyjq8nit3yfmai9ctpic8vgb3ikmu79d,12,2.7,PayPal,Yes,Express,9.66%,2022-01-29
jficujsjdd1tneyb5lbieedsprf6mfxg,441891431276b27ec701d3a18d78e9b4,sxv2vcgdbealmc0nkw98qbir4ok0gjlq,4,3.8,Bank Transfer,No,Free Shipping,6.04%,2022-01-12
2clpck9kryzanltqybt8mgxk1bthxxjk,9974438c68d0a8796ccfd37c682e7e29,duiusvvqgobvff8gu5eabzmpeouif5te,3,4.1,Credit Card,No,Next Day Air,78.79%,2022-01-08
bdrmg0gztaih6gsm3700tfjj7gy3hutf,2d0ea9a8dc331102dd1176da2f8f39c8,q98p4eqnqq4tyguszh8zqpp7skrig1cv,6,4.5,Cash,No,Next Day Air,16.57%,2022-01-20
6gu7za0j2c7beirtxcwufiaqq8xovllv,5c7b5a5270eec0366ec9a1ce964cac37,wuet9uyq1pb9vlk4qhp0wevgglyjbnf0,5,3.4,Bank Transfer,No,2-Day Shipping,11.79%,2022-01-21
jywpz7b35jix6b155lurnhkhn361lcs9,7d51a11231c9dabf6b3f1eb5fc58871a,cv2hgizzwlqgmlhcbghcwf3o7ikwubjb,7,4.6,Bank Transfer,Yes,Store Pickup,14.83%,2022-01-10
0etgfclgjttmile1o5socniwbvvg7egm,f5654f5a6ba021030630ee222eef3d3b,5wvosjkegyouap988kecbhp2rpxc9hqu,15,4.0,Cash,Y,2-Day Shipping,14.54%,2022-01-09
qbk4ni09dojxcoz4ozqpvnayyi5zduge,b0480d74d90417eef5544795c3afdbc9,pah48r5u8qw4lpy52x6e0viarvmjeywt,10,3.6,Credit Card,Yes,Next Day Air,7.46%,2022-01-13
7ufld9lp7tlprzhu4m5rfavs6u6yonvf,02047f0188bf4adbe641c5fdced440b3,fmfcplslo3tofffcw3vn1n5xga0rgqnz,6,3.6,Debit Card,No,Standard,14.18%,2022-01-15
yglk6ra7pbsaeytli3hh5ddqgj6h9fef,019e6727cb5469b13e276b33399e8353,mmz0qoehty3qev7rui2rxex1vs4shgjn,9,4.7,Venmo,No,Store Pickup,86.0%,2022-01-26
7jkiv16wny0cwzqovx6key3csa56d1lg,060647b8bf5f46c1df11da9cf80fad8e,ulwqj9zxyaztlenv9rj7o5z6tjrxahsz,9,4.2,Cash,Yes,Store Pickup,37.66%,2022-01-27
t7a6jwbzwrges2mhxo9y9yqsegghafsi,68bfe7e68b0bc62e7c456ed6b86323c6,252mqokun9e1npsm9nscmf6othnw55c8,1,3.0,Credit Card,no,Express,18.4%,2022-01-06
g78d8avsgwyn6wsymbrbfm17veecmbss,7e64bb49e7fe6e6b0112a0f868ca2c49,qx7o1jlr2inl4fdf5emcntxvl7xsfgje,6,4.3,Bank Transfer,,Express,5.67%,2022-01-12
wx8l1ipcqmsnenrp6acvduziigvqbmtb,1e47200ebb68b441d8238d674af3bc0a,pksueemsxeajmnc0vzob9sdwludbtyk5,15,3.4,PayPal,Yes,Express,6.59%,2022-01-07
szsiqhkwq7bb3xftieaakshie4qujpc5,2bf16bce01f0ab06c0541be020568640,ekm0kfnxgoqizd5klnx7prrohsnnahrc,2,3.4,PayPal,No,Store Pickup,38.82%,2022-01-27
uz9citsckxujvpqvvybzxphvrdpinaz2,7e17d202fda6b3e7793aac06c66ea19f,hbfo1fcm41af4zdjyci4bzqffxrjobht,11,3.4,Credit Card,No,Express,23.13%,2022-01-28
ti3uncyfdpzctazenjvts9kz6157up1a,a3cc14cb17d8e6e030e2f6c78f9d3b33,ptgujlvjqspj651updgwjsmlpm3ht4yl,15,2.5,Credit Card,Yes,Standard,14.72%,2022-01-12
znane9lpcwvw00454fjsigfj1dllv381,97cd1a0636f74a5e2af0b7ae6d0b3dc5,bcxh5hu04xxm6vn42vd8aghoxfb2h9pr,13,4.0,PayPal,Y,Free Shipping,23.51%,2022-01-30
xgo5xsisp9uhiaug90pasuuxnzmt3nll,b4f1434975bdecf07c34a0b5a45e27b1,btvmtovzvh7qsq0mpvzsphxboq8smy8c,4,3.8,Credit Card,Yes,Free Shipping,13.47%,2022-01-12
2okcfr5o5rg2qeqklpuqjyxdygqkp62q,0a5971c80778b9ff2b7a0f9c331919bf,a9lsgkwohwluhzzqxt7y6jil02dqb98r,16,4.4,Venmo,no,2-Day Shipping,3.38%,2022-01-31
qguspn9s9t507iffk82rmud8fzene7vm,ce7f23ac28e6ce00243afe15a30d56dc,u3iw6wysxxlsgr7ej1hlu8pncsniyqjh,5,3.7,Bank Transfer,Y,Store Pickup,10.77%,2022-01-10
pdax0wnmzjo4c7fjdufgpv8px1dbrjdd,eeb573b210c72a44eeffb23e038616f3,uqrzrutboaspfz7ez7tpwlygwzvi764w,10,3.5,Cash,Yes,Next Day Air,14.54%,2022-01-01
